Cycle,Peak time,Peak V,Low time,Low V,Drop (V),Duration (h),Avg rate (V/h)
1,2024-06-26 15:22:00,90.0,2024-06-26 20:49:00,32.0,58.0,5.45,-10.64
2,2024-06-26 22:23:00,100.0,2024-06-27 02:25:00,56.0,44.0,4.03,-10.91
3,2024-06-27 03:14:00,85.0,2024-06-27 06:56:00,38.0,47.0,3.7,-12.7
4,2024-06-27 14:06:00,100.0,2024-06-27 18:33:00,44.0,56.0,4.45,-12.58
5,2024-06-27 19:41:00,89.0,2024-06-28 00:29:00,29.0,60.0,4.8,-12.5
6,2024-06-28 06:44:00,100.0,2024-06-28 14:50:00,47.0,53.0,8.1,-6.54
7,2024-06-28 15:40:00,78.0,2024-06-28 19:22:00,32.0,46.0,3.7,-12.43
8,2024-06-28 21:06:00,100.0,2024-06-29 03:36:00,40.0,60.0,6.5,-9.23
9,2024-06-29 05:21:00,82.0,2024-06-29 09:07:00,38.0,44.0,3.77,-11.68
10,2024-06-29 10:45:00,100.0,2024-06-29 19:05:00,38.0,62.0,8.33,-7.44
11,2024-06-29 20:00:00,78.0,2024-06-29 23:25:00,32.0,46.0,3.42,-13.46
12,2024-06-30 02:06:00,100.0,2024-06-30 09:14:00,44.0,56.0,7.13,-7.85
13,2024-06-30 10:27:00,91.0,2024-06-30 14:44:00,25.0,66.0,4.28,-15.41
14,2024-06-30 16:41:00,100.0,2024-07-01 00:18:00,60.0,40.0,7.62,-5.25
15,2024-07-01 01:01:00,83.0,2024-07-01 05:05:00,43.0,40.0,4.07,-9.84
16,2024-07-01 06:54:00,100.0,2024-07-01 15:36:00,46.0,54.0,8.7,-6.21
17,2024-07-01 16:45:00,89.0,2024-07-01 21:39:00,32.0,57.0,4.9,-11.63
18,2024-07-01 23:08:00,100.0,2024-07-02 02:51:00,58.0,42.0,3.72,-11.3
19,2024-07-02 03:40:00,82.0,2024-07-02 07:23:00,36.0,46.0,3.72,-12.38
20,2024-07-02 09:24:00,100.0,2024-07-02 18:55:00,43.0,57.0,9.52,-5.99
21,2024-07-02 20:03:00,92.0,2024-07-03 00:10:00,29.0,63.0,4.12,-15.3
