No.,Timestamp,Voltage,Type,Note
1,2024-06-26 14:05:00,41.0,Low (local minimum),next to a data gap
2,2024-06-26 15:22:00,90.0,Peak (local high),next to a data gap
3,2024-06-26 20:49:00,32.0,Low (local minimum),
4,2024-06-26 22:23:00,100.0,Peak (local high),
5,2024-06-27 02:25:00,56.0,Low (local minimum),next to a data gap
6,2024-06-27 03:14:00,85.0,Peak (local high),next to a data gap
7,2024-06-27 06:56:00,38.0,Low (local minimum),
8,2024-06-27 14:06:00,100.0,Peak (local high),next to a data gap
9,2024-06-27 18:33:00,44.0,Low (local minimum),next to a data gap
10,2024-06-27 19:41:00,89.0,Peak (local high),next to a data gap
11,2024-06-28 00:29:00,29.0,Low (local minimum),
12,2024-06-28 06:44:00,100.0,Peak (local high),next to a data gap
13,2024-06-28 14:50:00,47.0,Low (local minimum),
14,2024-06-28 15:40:00,78.0,Peak (local high),next to a data gap
15,2024-06-28 19:22:00,32.0,Low (local minimum),
16,2024-06-28 21:06:00,100.0,Peak (local high),next to a data gap
17,2024-06-29 03:36:00,40.0,Low (local minimum),
18,2024-06-29 05:21:00,82.0,Peak (local high),next to a data gap
19,2024-06-29 09:07:00,38.0,Low (local minimum),
20,2024-06-29 10:45:00,100.0,Peak (local high),
21,2024-06-29 19:05:00,38.0,Low (local minimum),
22,2024-06-29 20:00:00,78.0,Peak (local high),next to a data gap
23,2024-06-29 23:25:00,32.0,Low (local minimum),
24,2024-06-30 02:06:00,100.0,Peak (local high),next to a data gap
25,2024-06-30 09:14:00,44.0,Low (local minimum),
26,2024-06-30 10:27:00,91.0,Peak (local high),next to a data gap
27,2024-06-30 14:44:00,25.0,Low (local minimum),
28,2024-06-30 16:41:00,100.0,Peak (local high),next to a data gap
29,2024-07-01 00:18:00,60.0,Low (local minimum),
30,2024-07-01 01:01:00,83.0,Peak (local high),next to a data gap
31,2024-07-01 05:05:00,43.0,Low (local minimum),
32,2024-07-01 06:54:00,100.0,Peak (local high),next to a data gap
33,2024-07-01 15:36:00,46.0,Low (local minimum),
34,2024-07-01 16:45:00,89.0,Peak (local high),next to a data gap
35,2024-07-01 21:39:00,32.0,Low (local minimum),
36,2024-07-01 23:08:00,100.0,Peak (local high),next to a data gap
37,2024-07-02 02:51:00,58.0,Low (local minimum),next to a data gap
38,2024-07-02 03:40:00,82.0,Peak (local high),next to a data gap
39,2024-07-02 07:23:00,36.0,Low (local minimum),
40,2024-07-02 09:24:00,100.0,Peak (local high),next to a data gap
41,2024-07-02 18:55:00,43.0,Low (local minimum),next to a data gap
42,2024-07-02 20:03:00,92.0,Peak (local high),next to a data gap
43,2024-07-03 00:10:00,29.0,Low (local minimum),
