No.,Cycle,Acceleration starts,Acceleration ends,Duration (min),Voltage at onset,Slope at onset (V/h),Steepest slope reached (V/h),Slope change (V/h)
1,1,2024-06-26 15:45:00,2024-06-26 16:04:00,19.0,83.0,-18.13,-20.87,-2.74
2,2,2024-06-27 00:18:00,2024-06-27 00:40:00,22.0,86.0,-6.53,-16.84,-10.31
3,3,2024-06-27 05:52:00,2024-06-27 06:07:00,15.0,50.0,-12.55,-16.06,-3.5
4,4,2024-06-27 14:52:00,2024-06-27 15:42:00,50.0,96.0,-2.78,-14.01,-11.23
5,5,2024-06-27 21:12:00,2024-06-27 21:43:00,31.0,64.0,-13.69,-22.39,-8.7
6,5,2024-06-27 23:15:00,2024-06-27 23:30:00,15.0,36.0,-5.95,-8.83,-2.88
7,6,2024-06-28 12:04:00,2024-06-28 12:25:00,21.0,84.0,-4.84,-12.9,-8.06
8,6,2024-06-28 13:17:00,2024-06-28 13:46:00,29.0,70.0,-12.47,-18.67,-6.2
9,8,2024-06-28 22:47:00,2024-06-28 23:13:00,26.0,96.0,-2.96,-9.58,-6.62
10,8,2024-06-28 23:29:00,2024-06-28 23:49:00,20.0,91.0,-7.74,-12.76,-5.02
11,8,2024-06-29 00:00:00,2024-06-29 00:15:00,15.0,86.0,-11.98,-14.06,-2.08
12,8,2024-06-29 00:35:00,2024-06-29 00:58:00,23.0,78.0,-11.0,-14.12,-3.11
13,8,2024-06-29 01:25:00,2024-06-29 01:46:00,21.0,69.0,-7.95,-16.16,-8.21
14,9,2024-06-29 08:19:00,2024-06-29 08:35:00,16.0,41.8,-3.91,-6.38,-2.47
15,10,2024-06-29 14:26:00,2024-06-29 14:46:00,20.0,88.0,-3.17,-6.11,-2.94
16,10,2024-06-29 15:12:00,2024-06-29 15:43:00,31.0,85.0,-2.31,-12.23,-9.92
17,10,2024-06-29 16:13:00,2024-06-29 16:34:00,21.0,76.0,-7.74,-11.94,-4.21
18,10,2024-06-29 17:16:00,2024-06-29 17:36:00,20.0,64.5,-11.58,-18.12,-6.54
19,11,2024-06-29 21:11:00,2024-06-29 21:32:00,21.0,60.0,-12.84,-14.89,-2.05
20,12,2024-06-30 06:33:00,2024-06-30 06:54:00,21.0,85.0,-6.67,-13.48,-6.81
21,12,2024-06-30 07:04:00,2024-06-30 07:31:00,27.0,80.0,-12.6,-15.25,-2.65
22,12,2024-06-30 08:01:00,2024-06-30 08:43:00,42.0,66.0,-12.69,-19.24,-6.55
23,13,2024-06-30 10:50:00,2024-06-30 11:16:00,26.0,84.0,-17.37,-23.47,-6.1
24,13,2024-06-30 11:51:00,2024-06-30 12:16:00,25.0,63.0,-17.58,-26.28,-8.7
25,14,2024-06-30 19:50:00,2024-06-30 20:28:00,38.0,97.0,-1.09,-6.45,-5.36
26,14,2024-06-30 21:55:00,2024-06-30 22:37:00,42.0,87.0,-4.2,-14.36,-10.16
27,16,2024-07-01 11:57:00,2024-07-01 12:31:00,34.0,95.6,-2.9,-9.89,-6.98
28,16,2024-07-01 13:07:00,2024-07-01 13:26:00,19.0,85.0,-12.34,-16.96,-4.62
29,16,2024-07-01 14:56:00,2024-07-01 15:14:00,18.0,57.0,-9.57,-18.62,-9.05
30,17,2024-07-01 17:05:00,2024-07-01 17:31:00,26.0,83.0,-16.59,-20.83,-4.24
31,17,2024-07-01 20:31:00,2024-07-01 20:54:00,23.0,38.0,-2.47,-7.1,-4.63
32,18,2024-07-02 00:26:00,2024-07-02 00:54:00,28.0,88.0,-9.53,-16.14,-6.6
33,19,2024-07-02 06:15:00,2024-07-02 06:33:00,18.0,49.0,-12.19,-14.98,-2.79
34,20,2024-07-02 14:45:00,2024-07-02 15:33:00,48.0,96.0,-4.26,-9.11,-4.85
35,20,2024-07-02 16:13:00,2024-07-02 16:38:00,25.0,83.0,-10.36,-14.43,-4.06
36,20,2024-07-02 16:57:00,2024-07-02 17:12:00,15.0,74.0,-12.08,-15.82,-3.73
37,20,2024-07-02 18:17:00,2024-07-02 18:37:00,20.0,54.0,-14.83,-18.19,-3.36
38,21,2024-07-02 21:32:00,2024-07-02 22:04:00,32.0,64.8,-16.9,-23.44,-6.54
